ID,Task,Start,End,Progress,Dependencies,Owner,Track
m1,Старт проекта и планирование,2026-04-13,2026-04-13,100,,PM,Управление
pm1,Еженедельный статус и риск-ревью,2026-04-13,2026-06-19,35,m1,PM,Управление
a1,Сбор доступов и интервью,2026-04-13,2026-04-17,100,m1,PM/BA,Аналитика
a1_1,Матрица доступов и заявки,2026-04-13,2026-04-14,100,a1,PM/BA,Аналитика
a1_2,Интервью по процессам и отчетам,2026-04-15,2026-04-16,100,a1_1,BA,Аналитика
a1_3,Протокол проблем и приоритетов,2026-04-17,2026-04-17,100,a1_2,BA,Аналитика
a2,Карта пути клиента и словарь метрик,2026-04-20,2026-05-01,70,a1,BA,Аналитика
a2_1,CJM по этапам воронки,2026-04-20,2026-04-23,85,a1,BA,Аналитика
a2_2,Карта событий и требования трекинга,2026-04-24,2026-04-28,70,a2_1,BA/DE,Аналитика
a2_3,Словарь метрик и формулы KPI,2026-04-29,2026-05-01,60,a2_2,BA/BI,Аналитика
a3,Постановка задач на доработку источников,2026-05-02,2026-05-06,40,a2_3,BA/PM,Аналитика
a3_1,ТЗ на доработки веба и мобильного приложения,2026-05-02,2026-05-03,45,a2_3,BA,Аналитика
a3_2,ТЗ по UTM и передаче рекламных данных,2026-05-04,2026-05-05,35,a3_1,BA/Маркетинг,Аналитика
a3_3,Правила приемки доработок по данным,2026-05-06,2026-05-06,40,a3_2,BA/DE,Аналитика
m2,Фиксация метрик и KPI,2026-05-07,2026-05-07,0,a3,BA/Бизнес,Аналитика
i0,Архитектурное проектирование,2026-04-20,2026-04-22,65,m1,DE/Инфра,Платформа
i0_1,Целевая схема хранилища и потоков данных,2026-04-20,2026-04-21,70,m1,DE,Платформа
i0_2,Окна обновления и контрольный лист поставки,2026-04-22,2026-04-22,60,i0_1,PM/DE,Платформа
i1,Сервер и базовая безопасность,2026-04-23,2026-04-29,80,i0,Инфра,Платформа
i1_1,Подготовка ОС и пользователей,2026-04-20,2026-04-21,90,m1,Инфра,Платформа
i1_2,Сетевые правила и усиление SSH-доступа,2026-04-22,2026-04-23,75,i1_1,Инфра,Платформа
i1_3,Проверка контрольного листа безопасности,2026-04-24,2026-04-24,70,i1_2,Инфра,Платформа
i2,Docker Compose и секреты,2026-04-30,2026-05-06,60,i1,Инфра,Платформа
i2_1,Сети и стратегия томов хранения,2026-04-27,2026-04-28,70,i1,Инфра,Платформа
i2_2,Хранение секретов и профили окружения,2026-04-29,2026-04-30,60,i2_1,Инфра,Платформа
i2_3,Проверка развертывания контейнеров,2026-05-01,2026-05-01,50,i2_2,Инфра,Платформа
i3,ClickHouse и Airflow,2026-05-07,2026-05-13,30,i2,DE/Инфра,Платформа
i3_1,Схема БД и сырой слой ClickHouse,2026-05-07,2026-05-09,40,i2,DE,Платформа
i3_2,Подключения Airflow и каркас процессов,2026-05-10,2026-05-12,30,i3_1,DE/Инфра,Платформа
i3_3,Пробный запуск процессов и проверка журналов,2026-05-13,2026-05-13,20,i3_2,DE/Инфра,Платформа
d1,Подключение источников (Метрика/AppM/продуктовая БД),2026-05-14,2026-05-20,10,i3,DE,Данные
d1_1,Подключение Яндекс.Метрики,2026-05-11,2026-05-12,20,i3,DE,Данные
d1_2,Подключение AppMetrica,2026-05-13,2026-05-14,10,d1_1,DE,Данные
d1_3,Подключение продуктовой БД,2026-05-15,2026-05-15,0,d1_2,DE,Данные
d2,Сырой и промежуточный слои: загрузки и нормализация,2026-05-21,2026-06-03,0,d1,DE,Данные
d2_1,Инкрементальные загрузки сырого слоя,2026-05-18,2026-05-21,0,d1,DE,Данные
d2_2,Очистка и удаление дублей промежуточного слоя,2026-05-22,2026-05-26,0,d2_1,DE,Данные
d2_3,Нормализация справочников и событий,2026-05-27,2026-05-29,0,d2_2,DE,Данные
d3,dbt: промежуточный слой и витрины,2026-06-04,2026-06-17,0,d2,DE,Данные
d3_1,Промежуточные модели и тесты,2026-06-01,2026-06-04,0,d2,DE,Данные
d3_2,Витрины: воронка, когорты, финансы,2026-06-05,2026-06-10,0,d3_1,DE/BI,Данные
d3_3,Оптимизация и документация dbt,2026-06-11,2026-06-12,0,d3_2,DE,Данные
d4,Тесты качества данных и контроль сроков обновления,2026-06-04,2026-06-17,0,d2,DE/QA,Данные
d4_1,Тесты полноты и уникальности,2026-06-01,2026-06-04,0,d2,DE/QA,Данные
d4_2,Сверка метрик с источниками,2026-06-05,2026-06-09,0,d4_1,DE/BA,Данные
d4_3,Мониторинг сроков обновления и оповещения,2026-06-10,2026-06-12,0,d4_2,DE/Инфра,Данные
b1,Панели и отчеты версии 1,2026-05-08,2026-05-21,45,m2,BI/Аналитик,Отчетность
b1_1,Структура экранов и фильтры,2026-05-05,2026-05-08,60,m2,BI/Аналитик,Отчетность
b1_2,Сборка визуализаций и KPI,2026-05-09,2026-05-14,40,b1_1,BI/Аналитик,Отчетность
b1_3,Внутренняя проверка панели v1,2026-05-15,2026-05-16,30,b1_2,BI/BA,Отчетность
m3,Демонстрация отчетности v1,2026-06-03,2026-06-03,0,b1,BI/Бизнес,Отчетность
b2,Интеграционное тестирование,2026-06-18,2026-06-24,0,d3,QA/DE,Отчетность
b2_1,Сквозные проверки источник-витрина-отчет,2026-06-15,2026-06-17,0,d3,QA/DE,Отчетность
b2_2,Исправление дефектов интеграции,2026-06-18,2026-06-19,0,b2_1,DE/BI,Отчетность
b3,Приемочные испытания с бизнесом,2026-06-25,2026-07-01,0,b2,Бизнес/PM,Отчетность
b3_1,Сценарии приемки и чек-лист,2026-06-22,2026-06-23,0,b2,PM/BA,Отчетность
b3_2,Сессии приемки с бизнесом,2026-06-24,2026-06-25,0,b3_1,Бизнес/BA,Отчетность
b3_3,Закрытие замечаний приемки,2026-06-26,2026-06-26,0,b3_2,DE/BI,Отчетность
m4,Подписанная приемка,2026-07-02,2026-07-02,0,b3,Бизнес,Отчетность
s0,Мониторинг и уведомления,2026-06-13,2026-06-19,0,d4_3,Инфра/DE,Запуск
s0_1,Контроль загрузок и задержек,2026-06-13,2026-06-16,0,d4_3,DE,Запуск
s0_2,Оповещения в почту и мессенджер,2026-06-17,2026-06-18,0,s0_1,Инфра,Запуск
s0_3,Порядок реакции на инциденты,2026-06-19,2026-06-19,0,s0_2,PM/Инфра,Запуск
s1,Регламент и проверка восстановления,2026-06-20,2026-06-26,0,s0,Инфра/DE,Запуск
s1_1,Регламент эксплуатации и инцидентов,2026-06-20,2026-06-22,0,s0,Инфра/DE,Запуск
s1_2,Политика резервного копирования и расписание,2026-06-23,2026-06-25,0,s1_1,Инфра,Запуск
s1_3,Контрольное восстановление,2026-06-26,2026-06-26,0,s1_2,Инфра/DE,Запуск
m5,Промышленный запуск,2026-07-03,2026-07-03,0,m4,PM,Запуск
s2,Передача в сопровождение,2026-07-04,2026-07-07,0,m5,PM/Команда,Запуск
